record_id,epoch_idx,consensus_stage,y_stage,agreement_frac,disagreement,ambiguous,n_scorers,ref_scorer_id,ref_scorer_stage,ref_scorer_y,EMG chin_mean,EMG chin_std,EMG chin_rms,EMG chin_delta_relpow,EMG chin_theta_relpow,EMG chin_alpha_relpow,EMG chin_sigma_relpow,EMG chin_beta_relpow
SN1,0,W,0,1.0,0.0,0,12,1,W,0,-4.026544542472192e-05,0.0005693054170019411,0.0005707275741744087,0.8985813745958865,0.06523528536390767,0.010933853802010918,0.009107737972764702,0.00825734940628147
SN1,1,N1,1,0.5833333333333334,0.41666666666666663,1,12,1,W,0,-1.4199025708537747e-05,0.0003633406942467613,0.00036361803094289783,0.9581728471591512,0.028045067361308334,0.003776600777032379,0.0017193958878186965,0.0027476723531248866
SN1,2,N1,1,0.5833333333333334,0.41666666666666663,1,12,1,W,0,2.55176416444141e-06,0.0003893224826489704,0.0003893308451642494,0.9300355866802066,0.042781955355285645,0.008706517528065479,0.005917252164810564,0.005318220652988661
SN1,3,N1,1,0.5,0.5,1,12,1,W,0,7.364189486155582e-08,9.625199567458552e-05,9.62520238460943e-05,0.8586043072827315,0.07977584862442064,0.036252580595992526,0.004102669933797817,0.008704675525946092
SN1,4,N1,1,0.4166666666666667,0.5833333333333333,1,12,1,N1,1,-2.1003146336324534e-07,9.150134777667873e-06,9.152544982959089e-06,0.49664034366089344,0.15383940557171805,0.11148832863183081,0.05994458325100057,0.12872559555824706
SN1,5,N1,1,0.75,0.25,1,12,1,N1,1,-2.2575704529023987e-07,4.0155342118385126e-05,4.015597672685913e-05,0.5566093287582405,0.3376795391634092,0.02674061386004764,0.0045821886085322065,0.030479043717116336
SN1,6,N1,1,0.5833333333333334,0.41666666666666663,1,12,1,N1,1,-3.4906924636304167e-06,0.00017512501335575418,0.0001751597991456051,0.9506739797453116,0.0316454012876775,0.008638815213497927,0.0014390231080320785,0.0024654789677091655
SN1,7,N1,1,0.5,0.5,1,12,1,N1,1,-2.3216808601502026e-07,1.3789830927536648e-05,1.3791785200988672e-05,0.7814999198467666,0.05795129829513967,0.04555049374097552,0.028600727098112785,0.06883630806621281
SN1,8,N1,1,0.75,0.25,1,12,1,N1,1,-2.3357229366482052e-06,0.00010827339680861788,0.00010829858751670405,0.8888702240545898,0.08589203321817832,0.009451300754504816,0.0013549721085441915,0.0017383316947721878
SN1,9,N1,1,0.6666666666666666,0.33333333333333337,1,12,1,N1,1,8.691036606070853e-08,2.5569932396093902e-05,2.5570080096717362e-05,0.27373976888534807,0.17348885975838615,0.17619226721410583,0.12558586890217105,0.18355104186312365
SN1,10,N1,1,0.8333333333333334,0.16666666666666663,0,12,1,N1,1,-8.012019687806174e-07,1.8027600122545843e-05,1.804539527894008e-05,0.6848197435492286,0.07456749659824817,0.05432424625641107,0.04258077915064424,0.1249941086806692
SN1,11,N1,1,0.6666666666666666,0.33333333333333337,1,12,1,N1,1,-4.808275144246291e-07,3.797022371940142e-05,3.7973268023703496e-05,0.9001814935037916,0.042596869127454515,0.014933881531289094,0.006260019808781915,0.02865616385152029
SN1,12,N1,1,0.75,0.25,1,12,1,N1,1,-4.5633292486751524e-07,8.337247612594792e-06,8.349726791460645e-06,0.44339187108764294,0.14534400452038215,0.1582088502433027,0.07144340570486975,0.13767604358275612
SN1,13,N1,1,0.5,0.5,1,12,1,N1,1,-4.820209838711799e-07,7.241884473441501e-06,7.2579084422142726e-06,0.35204747880035586,0.18515871204028234,0.15224132890425363,0.07716789957971644,0.17546088724573441
SN1,14,N1,1,0.9166666666666666,0.08333333333333337,0,12,1,N1,1,-5.686515829444232e-07,0.00010562743521309229,0.0001056289658868191,0.8910752108033397,0.06676030043692886,0.0143156778774229,0.00691421540127557,0.007523219247311557
SN1,15,N1,1,0.9166666666666666,0.08333333333333337,0,12,1,N1,1,-5.433134413529678e-07,7.394408820179631e-06,7.414342269918831e-06,0.343759270030252,0.17348922918765589,0.17283054346973717,0.07778129174400641,0.18025017835636326
SN1,16,N1,1,0.5833333333333334,0.41666666666666663,1,12,1,W,0,-5.097299765304404e-07,1.149569854745994e-05,1.1506993949031446e-05,0.644696245129021,0.07646159046886979,0.06661918664698734,0.043893660033587335,0.1390242165494436
SN1,17,W,0,1.0,0.0,0,12,1,W,0,-5.621461657872739e-07,7.011196246794715e-06,7.033696121014728e-06,0.3446433029356934,0.1700652809095223,0.16646139537650553,0.06647274545407221,0.19236129045386663
SN1,18,N1,1,0.6666666666666666,0.33333333333333337,1,12,1,N1,1,-5.544093074395562e-07,6.9520536380005985e-06,6.974124996428797e-06,0.27888335857165086,0.179251908660459,0.15201095313717736,0.10099648718456591,0.22993116821276455
SN1,19,N1,1,0.8333333333333334,0.16666666666666663,0,12,1,N1,1,-6.753615751344961e-07,1.6357506821246097e-05,1.637144290110926e-05,0.7558418558500769,0.06503216719782959,0.05001859235727358,0.037066273950168364,0.07264562218355754
SN1,20,N1,1,0.75,0.25,1,12,1,N1,1,-4.925646560967393e-07,5.917459521488163e-05,5.917664521401604e-05,0.5588282948777897,0.15032639891885527,0.05325600120135293,0.07876894195288876,0.13190663319888904
SN1,21,N1,1,0.75,0.25,1,12,1,N2,2,-7.188821234158549e-07,2.8296649440113613e-05,2.8305779640279278e-05,0.8778608094105365,0.04328952071745548,0.01993926384128588,0.011479627860305758,0.03548788414511646
SN1,22,N1,1,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-6.548049004101585e-07,8.068027223083787e-06,8.094555746303946e-06,0.3002866476674907,0.1907305997110667,0.1861886697042576,0.07816593342693041,0.18980094830107802
SN1,23,N1,1,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-4.862661036679464e-07,8.691215645426236e-06,8.70480810350683e-06,0.2775708741677598,0.19997785474392568,0.17560644515583596,0.10062375356602346,0.20418200599232364
SN1,24,N1,1,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-8.081458176717642e-07,8.775202416371404e-06,8.812336643076618e-06,0.26495943410807177,0.20595339424808023,0.18222243390159554,0.08286473870655445,0.21826536271616367
SN1,25,N2,2,0.5,0.5,1,12,1,N2,2,-6.005485541428013e-07,9.281528974007114e-06,9.300937515176442e-06,0.32132636421292926,0.21643286089484767,0.13968044904332458,0.10651490516867393,0.17110495838151782
SN1,26,N2,2,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-6.947429329785802e-07,9.705012870662162e-06,9.729848023614854e-06,0.35552669492587213,0.1932074093356955,0.141107530490961,0.1142349829632486,0.1467922889956797
SN1,27,N2,2,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-6.557494312254295e-07,1.1383404321884637e-05,1.1402276144351807e-05,0.40289713802324834,0.19644342308493473,0.13803347209191902,0.09051919367493898,0.13001354902986265
SN1,28,N2,2,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-6.2677889026276e-07,1.1940841359240386e-05,1.1957279964265484e-05,0.5989558005484427,0.1433311037640931,0.09832504337605512,0.055933333652687774,0.07795514033665325
SN1,29,N2,2,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-7.654535523802308e-07,1.2953334256638863e-05,1.2975931084321671e-05,0.5230893985797828,0.14985587759617477,0.11371180294819559,0.09090411230058469,0.08621555168164562
SN1,30,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-6.194786781749738e-07,1.1021777776088866e-05,1.1039172939047555e-05,0.42472010474975486,0.1977909502629744,0.13424287792040837,0.08749835591012199,0.11606337634224659
SN1,31,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-6.824724203289102e-07,1.092146712884058e-05,1.0942769889331262e-05,0.508753550653272,0.16826206278300646,0.10926213475753001,0.0700754148978328,0.10535393982561679
SN1,32,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-7.850775197120691e-07,1.3147109514580208e-05,1.3170529044056001e-05,0.5708525635022563,0.14786994634659753,0.11267744630549979,0.07111828957585603,0.07095061163388654
SN1,33,N2,2,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-6.590485561446639e-07,1.166875358299987e-05,1.1687350220650046e-05,0.5280528602598576,0.16862335180144442,0.10814251080045388,0.06902359062107408,0.08597265191834016
SN1,34,N1,1,0.75,0.25,1,12,1,N2,2,-7.072136515799618e-07,1.1953228544351417e-05,1.1974131441673695e-05,0.505180406262085,0.1699521593381065,0.1260105688070212,0.08933547553899615,0.07778093370390214
SN1,35,N2,2,0.75,0.25,1,12,1,N2,2,-6.442893065161969e-07,1.1753679222928973e-05,1.1771324648738703e-05,0.5061909184219128,0.18448432348597682,0.12493600002921618,0.07093036578217689,0.07312929593083752
SN1,36,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-7.44781649929191e-07,3.208498595624801e-05,3.209362901759013e-05,0.83765835996847,0.05958802662641476,0.02842819344971084,0.014493075164033803,0.04787204954422104
SN1,37,N2,2,1.0,0.0,0,12,1,N2,2,-6.999881269642491e-07,1.0112654952333896e-05,1.013685225120965e-05,0.4283487978813131,0.21110118843664402,0.12315126541306215,0.07080022165262412,0.13634200067832306
SN1,38,N2,2,1.0,0.0,0,12,1,N2,2,-7.46245428032786e-07,1.257627107764979e-05,1.2598391820283667e-05,0.5970689484672128,0.13735265177093298,0.10814260289743649,0.06242133986578469,0.06327163498460409
SN1,39,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-7.111710941356381e-07,9.740416466899481e-06,9.76634410994107e-06,0.3988148013897907,0.22604094657691734,0.1257005127575939,0.0996708156543821,0.10401748602818833
SN1,40,N2,2,1.0,0.0,0,12,1,N2,2,-7.580237868079313e-07,1.422234505166689e-05,1.4242531335055586e-05,0.6490697912363638,0.1083384612568353,0.08554564085881546,0.08485809330718684,0.03728856465240557
SN1,41,N2,2,1.0,0.0,0,12,1,N2,2,-8.302333839614051e-07,1.3927722329647433e-05,1.3952445547774186e-05,0.5671186836153155,0.12019878878065847,0.11921207674684961,0.12840596589326678,0.03223301487798509
SN1,42,N2,2,0.6666666666666666,0.33333333333333337,1,12,1,N2,2,-6.084459850689181e-07,1.2099103525278479e-05,1.2114392788421244e-05,0.5663444906779539,0.15737327539534995,0.10679088156465162,0.08292202615083202,0.052224786704155035
SN1,43,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-8.4891831243364e-07,1.4109944743933727e-05,1.4135459064991423e-05,0.5692687274235979,0.15887144810002043,0.0883618632920344,0.1248937657558312,0.02795683381239198
SN1,44,N2,2,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-7.585389969481422e-07,1.1641570553155839e-05,1.1666256741302936e-05,0.47024729787915964,0.15963209541216533,0.14346772700234894,0.15414603727025541,0.03375838024612241
SN1,45,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-6.735189074502583e-07,1.443211504876785e-05,1.4447822413760646e-05,0.56767520152721,0.16833699072994524,0.1218780859300168,0.07467131866670572,0.03351425399927239
SN1,46,N1,1,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-7.779784024704799e-07,2.126767026226113e-05,2.1281894858752052e-05,0.7578441614497199,0.08671628447055002,0.06399466844131405,0.05243124343792697,0.0226568791060208
SN1,47,N2,2,1.0,0.0,0,12,1,N2,2,-7.119192809292328e-07,1.4127908551107124e-05,1.4145834337040873e-05,0.6589988544151743,0.1463869718793057,0.07566776177950305,0.05583414380022832,0.039066617868437445
SN1,48,N2,2,1.0,0.0,0,12,1,N2,2,-7.914829798051342e-07,1.3169804803259633e-05,1.3193566760481476e-05,0.49179580965348946,0.17948640015401837,0.14328677314790456,0.09922991022755516,0.035813615033029274
SN1,49,N2,2,1.0,0.0,0,12,1,N2,2,-6.826442087775025e-07,1.8796810144898027e-05,1.8809201863426286e-05,0.7581101440192535,0.07194366064304258,0.08367462980540791,0.038044414797174436,0.029776054920846267
SN1,50,N2,2,1.0,0.0,0,12,1,N2,2,-7.678729899605923e-07,1.3431386505859079e-05,1.3453318267196548e-05,0.5383770429452085,0.15923942777155975,0.10628092737537699,0.12386234309206216,0.036940851343403316
SN1,51,N2,2,1.0,0.0,0,12,1,N2,2,-7.999320826997065e-07,1.410796496935522e-05,1.4130625142345484e-05,0.616222664723897,0.14036778261946606,0.1011687446204774,0.08557967577505506,0.026146981836390006
SN1,52,N2,2,1.0,0.0,0,12,1,N2,2,-6.905499226949493e-07,1.5130466292902262e-05,1.5146216340604194e-05,0.56730010067004,0.14001407791996373,0.12276092743379784,0.10434532807290113,0.03113833914521555
SN1,53,N2,2,1.0,0.0,0,12,1,N2,2,-7.8895544786597e-07,1.2142807144137924e-05,1.2168410579794075e-05,0.559441646310174,0.19511630498198612,0.10353576187292385,0.0672435830778158,0.03807927292725966
SN1,54,N2,2,1.0,0.0,0,12,1,N2,2,-7.346054341015749e-07,1.4291296846352696e-05,1.4310164593546158e-05,0.6117640588152331,0.15128144371101346,0.10815655927439745,0.05391297913156624,0.03136592026454924
SN1,55,N2,2,1.0,0.0,0,12,1,N2,2,-7.446938330640445e-07,1.3831195429013994e-05,1.3851228678372947e-05,0.47203952369548674,0.16610676631317936,0.1535415839189368,0.14219694454095208,0.031643247073003575
SN1,56,N2,2,0.75,0.25,1,12,1,N2,2,-7.58051871353845e-07,1.4508015753955551e-05,1.4527806570734811e-05,0.629297991590917,0.16533899691716233,0.09768742478318183,0.05724072847913753,0.02372412841876915
SN1,57,N2,2,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-7.61724887522398e-07,1.4333813360827472e-05,1.4354038813773188e-05,0.6017334093539565,0.14420332546630676,0.10876712674437854,0.09496240304599372,0.02099877872789385
SN1,58,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-7.378139464017504e-07,1.4399136105295546e-05,1.4418026563934842e-05,0.5791109549418068,0.16335602136635777,0.13012125092583407,0.0716584269949091,0.02507739014357486
SN1,59,N2,2,1.0,0.0,0,12,1,N2,2,-6.554365826966877e-07,2.2237938389569016e-05,2.2247595396631167e-05,0.633732686914045,0.10806398644184667,0.10345846688883423,0.05364474079924411,0.07897601204811543
SN1,60,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-8.324728191443701e-07,1.1405004398466714e-05,1.1435345920594588e-05,0.5282218144138052,0.17629967906430555,0.12282214105487428,0.057283111024739826,0.07592113837317464
SN1,61,N2,2,0.9166666666666666,0.08333333333333337,0,12,1,N2,2,-8.206432807532298e-07,1.5067128572385113e-05,1.5089460520874472e-05,0.6374307568729063,0.10269610001287503,0.08565931331089527,0.120467247471661,0.021460707927893594
SN1,62,N2,2,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-8.055678377136701e-07,1.132175904311796e-05,1.1350381816114468e-05,0.543831750631355,0.1570887778777672,0.1455209945229496,0.08343827517557556,0.0329944436980734
SN1,63,N2,2,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-7.29726502178904e-07,1.4039155352846136e-05,1.405810740424651e-05,0.6461308290551598,0.13408253069342066,0.0989559925507935,0.06382958827740386,0.02039922333253008
SN1,64,N2,2,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-8.289527715321865e-07,1.413490875197119e-05,1.4159195179245981e-05,0.5916107597251781,0.14500828495939128,0.10940700574948309,0.09011572942753227,0.020936648499065805
SN1,65,N3,3,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-7.354175881154586e-07,1.3899602165818252e-05,1.3919043767332904e-05,0.6911473633404265,0.11740656248513334,0.10044970358028654,0.05257074561455982,0.02023266457704394
SN1,66,N3,3,0.5833333333333334,0.41666666666666663,1,12,1,N2,2,-8.283997525678413e-07,1.7727590769270927e-05,1.7746935527938174e-05,0.7836844584374141,0.09147665499880937,0.05463244319139108,0.03712942179839275,0.013003652614279614
SN1,67,N3,3,0.75,0.25,1,12,1,N2,2,-8.079606543779424e-07,1.4980242410172672e-05,1.5002015300837377e-05,0.6056259527126553,0.13853607627541514,0.1220537185904796,0.08291422369644233,0.019428426377060052
SN1,68,N3,3,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-8.08983858240061e-07,1.3591667015007603e-05,1.361572132241765e-05,0.5327593800693855,0.1911983867514872,0.1238920599716571,0.08819364216495887,0.020893136118151325
SN1,69,N3,3,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-8.686784216994321e-07,1.598239267994511e-05,1.600598256828644e-05,0.7012827123193414,0.10927028780190665,0.08497930246329345,0.05848527349666824,0.01166601683451014
SN1,70,N3,3,0.8333333333333334,0.16666666666666663,0,12,1,N2,2,-7.287830698015597e-07,1.681317716778812e-05,1.6828964651405656e-05,0.6979535721228941,0.11597692853245958,0.0881675186491215,0.058923574026005926,0.012391302405818344
SN1,71,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-9.858112671969248e-07,1.5051770862884254e-05,1.5084019025554952e-05,0.7406095726817159,0.10262188712780015,0.08055056372509832,0.03911175142359728,0.013073204759684234
SN1,72,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-7.853844506615041e-07,1.746251787863576e-05,1.7480170462470164e-05,0.6461599373065661,0.1416806171131894,0.11331842634286969,0.049547994395503774,0.013840688909205378
SN1,73,N3,3,0.8333333333333334,0.16666666666666663,0,12,1,N3,3,-8.563541429555289e-07,1.5889957064578894e-05,1.5913015991078428e-05,0.7777032406174098,0.09903722517756221,0.062304516757944975,0.028256439560755475,0.011329468492271955
SN1,74,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-7.884784548827634e-07,1.8131876010482452e-05,1.8149011706793384e-05,0.7559198637973171,0.09834038054192412,0.07793451958882738,0.03604136219759009,0.010602717318062253
SN1,75,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-1.0894381038183373e-06,1.789437899976601e-05,1.792751168370329e-05,0.7316930288405004,0.10330706981844019,0.08727446292717272,0.03947550317453503,0.01136408361022656
SN1,76,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-6.45564432223846e-07,1.5946301014225257e-05,1.595936306600091e-05,0.7637323218740893,0.10548815419151608,0.0645645487022822,0.03121942346521054,0.016447363495601636
SN1,77,N3,3,1.0,0.0,0,12,1,N3,3,-9.220763506646985e-07,1.6899323058608624e-05,1.6924459951078976e-05,0.7448630069683764,0.10720164264587995,0.07832137890153508,0.03919978615306949,0.01225503874324264
SN1,78,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-8.724699273682657e-07,1.5699255932753655e-05,1.5723480550319093e-05,0.690668998576812,0.10986469694896185,0.10408541488892771,0.052520925004087254,0.012326876056950502
SN1,79,N3,3,0.8333333333333334,0.16666666666666663,0,12,1,N3,3,-7.651243669671989e-07,1.6091901985444138e-05,1.611008146491097e-05,0.7577268217436709,0.09945486338629064,0.07388285595235987,0.03498529409782957,0.013799810485809649
SN1,80,N3,3,1.0,0.0,0,12,1,N3,3,-8.970409617038677e-07,1.6470964886000244e-05,1.6495374101936204e-05,0.7793360142499826,0.09358392769402746,0.06824702492643721,0.028193864255190004,0.011472589956598061
SN1,81,N3,3,1.0,0.0,0,12,1,N3,3,-8.900956992202885e-07,1.4318285721335759e-05,1.434592542680945e-05,0.7416241539645679,0.11806513117664999,0.07007649738248556,0.02636595752337188,0.017310591833870858
SN1,82,N3,3,0.5,0.5,1,12,1,N3,3,-7.872795500517586e-07,1.5908407247910414e-05,1.5927875886485877e-05,0.7008858391048278,0.12054335189507233,0.07366353403140752,0.0638182012658127,0.013330866814121994
SN1,83,N3,3,1.0,0.0,0,12,1,N3,3,-8.971483980195029e-07,1.4888102071787048e-05,1.491510839880216e-05,0.6721263738626494,0.13060187022105982,0.09960638769168993,0.05644104630269735,0.014575451554176068
SN1,84,N3,3,1.0,0.0,0,12,1,N3,3,-9.924701465998405e-07,1.6370731377789516e-05,1.640078787240522e-05,0.7393058289548723,0.12542099596512246,0.07444963073758092,0.025163435505394627,0.01383301258716054
SN1,85,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-7.15975547408411e-07,1.4069007738036554e-05,1.408721405095483e-05,0.661932126034508,0.14618622636196707,0.10296716406228439,0.04457860573969186,0.0164944188471872
SN1,86,N3,3,1.0,0.0,0,12,1,N3,3,-8.933336967123057e-07,1.6662041564310618e-05,1.6685972377554036e-05,0.7730887442607801,0.08798250150930187,0.07347622767219904,0.035729343108383146,0.008738064659327189
SN1,87,N3,3,1.0,0.0,0,12,1,N3,3,-1.0124932611569159e-06,1.7052429368648734e-05,1.7082461473003297e-05,0.7605920416374656,0.1065696922164724,0.06465598243920026,0.03916374572805886,0.008675095875182346
SN1,88,N3,3,1.0,0.0,0,12,1,N3,3,-4.7640719071257466e-07,2.7641395691396067e-05,2.7645500892183013e-05,0.7882106283709358,0.09940408522163358,0.054021861573115455,0.026211191764438615,0.013344731849417101
SN1,89,N3,3,1.0,0.0,0,12,1,N3,3,-1.071132427231604e-06,1.639627536194765e-05,1.6431225469254526e-05,0.6839357201454194,0.13332752646503127,0.11508403234606816,0.03294865406426594,0.01351910501427333
SN1,90,N3,3,1.0,0.0,0,12,1,N3,3,-8.477208530182263e-07,1.6518162246785336e-05,1.6539900684579892e-05,0.7758123056707387,0.09358850479340891,0.05891795493826716,0.03795807108079463,0.01250915943003549
SN1,91,N3,3,1.0,0.0,0,12,1,N3,3,-9.545828897017037e-07,1.6173974377694394e-05,1.620211948059963e-05,0.7682883455802356,0.10010088724103365,0.06859387289707225,0.0306117179568386,0.011485760727377942
SN1,92,N3,3,1.0,0.0,0,12,1,N3,3,-8.188160989482489e-07,1.6168996928882855e-05,1.6189716535199745e-05,0.7248988977059608,0.11890769081883805,0.08787141218630064,0.03431475603657819,0.012003787144572207
SN1,93,N3,3,1.0,0.0,0,12,1,N3,3,-8.230398270065552e-07,1.7001295770675498e-05,1.702120596311635e-05,0.7521952009825232,0.12083683297474196,0.05912926019572278,0.033338746953368074,0.010483302171257957
SN1,94,N3,3,1.0,0.0,0,12,1,N3,3,-9.80351436325882e-07,1.6449790403785152e-05,1.6478977312538793e-05,0.7489701726927942,0.11448905025673235,0.06935986536005177,0.031927129964915715,0.009702358670564024
SN1,95,N3,3,1.0,0.0,0,12,1,N3,3,-7.885333902694354e-07,1.4668632091299621e-05,1.468981117433015e-05,0.7452634443557158,0.10356256261841576,0.07971868466332122,0.03327156109173807,0.014150393695763184
SN1,96,N3,3,1.0,0.0,0,12,1,N3,3,-9.58935411528822e-07,1.756646382548256e-05,1.759261801027554e-05,0.7232199997128365,0.10543571431176967,0.08680871632536122,0.04139852305728769,0.011479873463458126
SN1,97,N3,3,1.0,0.0,0,12,1,N3,3,-7.493431164273285e-07,1.686417851064131e-05,1.6880818461938188e-05,0.7723371499784962,0.11021342455198926,0.06965600661212404,0.023583753228342098,0.009464205565775572
SN1,98,N3,3,1.0,0.0,0,12,1,N3,3,-1.0555006895056272e-06,1.5386046311890295e-05,1.5422208104457023e-05,0.7330227126847273,0.12967063760972547,0.06406574335213337,0.038819561029352155,0.012517786284215786
SN1,99,N3,3,1.0,0.0,0,12,1,N3,3,-9.028644097797449e-07,1.687255498651974e-05,1.6896694230398414e-05,0.827816813468707,0.07085428088493878,0.05473842156929377,0.02417598266830736,0.008643925178576635
SN1,100,N3,3,0.9166666666666666,0.08333333333333337,0,12,1,N3,3,-9.392386826576236e-07,1.5372483952955467e-05,1.5401150352713065e-05,0.7413002475123766,0.12064317938104101,0.06668590268118083,0.035702416766971855,0.012658909044608299
SN1,101,N3,3,1.0,0.0,0,12,1,N3,3,-7.68651472098072e-07,1.360781710406268e-05,1.362950884746693e-05,0.7289718946462057,0.09003625132063998,0.09669114157813465,0.04069016653069339,0.01406757256441746
